Data;Sequenced;File_name;Run;Sample_ID;Project;IgA_interaction;Group
446686361;Apr;CER219_neg_r2_S217_R1_001.fastq.gz;Run_2;CER219_neg_r2;Sorting_test;CER219_neg_r2;CER219_neg_r2
212681855;Apr;CER219_pos_r2_S218_R1_001.fastq.gz;Run_2;CER219_pos_r2;Sorting_test;CER219_pos_r2;CER219_pos_r2
210431188;Apr;CER219_pos_r2_S218_R2_001.fastq.gz;Run_2;CER219_pos_r2;Sorting_test;CER219_pos_r2;CER219_pos_r2
25999265;Apr;CER220_IgAneg_S117_R2_001.fastq.gz;Run_2;CER220_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
25191713;Apr;CER220_IgAneg_S117_R1_001.fastq.gz;Run_2;CER220_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
562681554;Dec;CER220_IgAneg_S132_R2_001.fastq.gz;Run_1;CER220_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
541944872;Dec;CER220_IgAneg_S132_R1_001.fastq.gz;Run_1;CER220_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
38313394;Apr;CER220_IgApos_S124_R2_001.fastq.gz;Run_2;CER220_IgApos;Sorting_MS;IgApos;CTRL_IgApos
37488546;Apr;CER220_IgApos_S124_R1_001.fastq.gz;Run_2;CER220_IgApos;Sorting_MS;IgApos;CTRL_IgApos
482693048;Dec;CER220_IgApos_S141_R2_001.fastq.gz;Run_1;CER220_IgApos;Sorting_MS;IgApos;CTRL_IgApos
464882957;Dec;CER220_IgApos_S141_R1_001.fastq.gz;Run_1;CER220_IgApos;Sorting_MS;IgApos;CTRL_IgApos
952227595;Apr;CER223_IgAneg_S167_R2_001.fastq.gz;Run_2;CER223_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
932391769;Apr;CER223_IgAneg_S167_R1_001.fastq.gz;Run_2;CER223_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
254822655;Dec;CER223_IgAneg_S191_R2_001.fastq.gz;Run_1;CER223_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
245721018;Dec;CER223_IgAneg_S191_R1_001.fastq.gz;Run_1;CER223_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
830758518;Dec;CER223_IgApos_S139_R2_001.fastq.gz;Run_1;CER223_IgApos;Sorting_MS;IgApos;CTRL_IgApos
801519107;Dec;CER223_IgApos_S139_R1_001.fastq.gz;Run_1;CER223_IgApos;Sorting_MS;IgApos;CTRL_IgApos
1612507864;Apr;CER224_IgAneg_S1_R2_001.fastq.gz;Run_2;CER224_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
1583962773;Apr;CER224_IgAneg_S1_R1_001.fastq.gz;Run_2;CER224_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
439097832;Dec;CER224_IgAneg_S7_R2_001.fastq.gz;Run_1;CER224_IgAneg;Sorting_MS;IgAneg;CTRL_IgAneg
